FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
15,8,G,2,3,0.586805556,0.520833333,95,4,,,1,2,2,501,,,3,US,3,2,2,0.669478
15,8,G,2,3,0.586805556,0.458333333,185,2,,,1,2,2,202,619,,4,US,3,2,2,0.669478
15,8,G,2,3,0.586805556,0.4375,215,2,,,1,2,1,210,,,10,US,3,2,2,0.669478
15,8,G,2,3,0.586805556,0.465277778,175,6,,,2,1,2,,,,10,US,3,1,2,0.669478
15,8,G,2,3,0.586805556,0.364583333,320,3,,,1,1,1,999,,,11,US,5,2,2,0.669478
15,8,G,2,3,0.586805556,0.489583333,140,3,,,1,2,1,102,,,3,US,2,1,2,0.669478
15,8,G,2,3,0.586805556,0.565972222,30,3,,,1,2,2,,,,16,KOREA,2,2,3,0.669478
15,8,G,2,3,0.586805556,0.5,125,2,,,1,1,0,612,,,3,US,3,1,2,0.669478
15,8,G,2,3,0.586805556,0.416666667,245,4,,,1,2,2,,,,11,US,2,1,2,0.669478
15,8,G,2,3,0.586805556,0.458333333,185,2,3,,1,1,1,,,,3,US,2,1,3,0.669478
15,8,G,2,3,0.586805556,0.472222222,165,1,,,1,2,2,,,,10,US,2,2,2,0.669478
15,8,G,2,3,0.586805556,N,N,2,,,1,1,2,,,,1,US,6,1,3,0.669478
15,8,G,2,3,0.586805556,0.40625,260,2,,,2,1,2,202,,,16,CHINA,2,2,0,0.669478
15,8,G,2,3,0.586805556,0.458333333,185,2,,,1,1,1,31,506,,10,US,3,2,2,0.669478
15,8,G,2,3,0.586805556,0.5,125,5,,,1,2,2,,,,4,US,3,2,2,0.669478
1817,2,B,1,2,0.25,0.166666667,120,2,,,2,2,2,999,,,12,US,3,2,2,0.373206
1817,2,B,1,2,0.25,0.180555556,100,6,,,1,2,2,999,,,4,US,2,2,2,0.373206
1817,2,B,1,2,0.25,0,360,2,,,2,2,1,10,,,5,US,7,1,1,0.373206
1817,2,B,1,2,0.25,0.166666667,120,3,,,1,2,1,406,408,,12,US,3,2,2,0.373206
1817,2,B,1,2,0.25,0.208333333,60,2,,,2,2,2,102,108,,12,US,4,1,2,0.373206
1817,2,B,1,2,0.25,0.166666667,120,1,,,2,2,2,501,,,12,US,3,1,1,0.373206
1817,2,B,1,2,0.25,0.166666667,120,4,,,2,2,2,,,,3,US,6,2,2,0.373206
1817,2,B,1,2,0.25,0.1875,90,4,,,1,2,2,999,,,3,US,2,1,2,0.373206
1817,2,B,1,2,0.25,0.177083333,105,1,,,1,2,2,,,,9,US,4,0,1,0.373206
1817,2,B,1,2,0.25,0.166666667,120,2,,,2,2,1,,,,99,0,3,1,0,0.373206
1817,2,B,1,2,0.25,0.166666667,120,6,,,2,2,1,203,,,12,US,3,1,2,0.373206
1817,2,B,1,2,0.25,0.875,540,2,,,2,2,1,,,,12,US,3,2,1,0.373206
1817,2,B,1,2,0.25,0.166666667,120,3,,,2,2,1,705,,,12,US,5,2,2,0.373206
1817,2,B,1,2,0.25,0.197916667,75,2,,,2,2,1,993,,,1,US,3,2,2,0.373206
1817,2,B,1,2,0.25,0.177083333,105,2,,,1,0,1,999,,,13,CANADA,6,2,2,0.373206
1817,2,B,1,2,0.25,0.1875,90,4,,,1,2,2,,,,12,US,1,2,0,0.373206
218,3,D,2,1,0.479166667,0.375,150,2,,,2,2,1,,,,11,US,3,2,2,0.952000
218,3,D,2,1,0.479166667,0.416666667,90,1,,,2,1,2,13,,,2,US,5,2,2,0.952000
218,3,D,2,1,0.479166667,0.416666667,90,2,,,2,1,2,,,,11,US,4,2,2,0.952000
218,3,D,2,1,0.479166667,0.416666667,90,3,,,2,1,2,,,,11,US,7,1,1,0.952000
218,3,D,2,1,0.479166667,0.395833333,120,2,,,2,2,1,506,,,11,US,3,1,2,0.952000
218,3,D,2,1,0.479166667,N,N,3,,,1,1,2,,,,11,US,5,1,2,0.952000
218,3,D,2,1,0.479166667,0.375,150,2,,,1,0,1,990,991,,11,US,5,2,2,0.952000
218,3,D,2,1,0.479166667,0.395833333,120,1,,,2,1,2,702,,,4,US,4,2,3,0.952000
218,3,D,2,1,0.479166667,0.427083333,75,1,,,2,2,2,,,,4,US,4,1,2,0.952000
218,3,D,2,1,0.479166667,0.416666667,90,1,,,0,1,1,,,,5,US,3,2,2,0.952000
218,3,D,2,1,0.479166667,0.427083333,75,4,,,1,2,2,,,,5,US,7,2,2,0.952000
218,3,D,2,1,0.479166667,0.427083333,75,1,,,2,1,1,304,203,,1,US,5,2,1,0.952000
